"source"	"target"
"465"	27473	29675
"466"	27473	29637
"467"	27473	31682
"468"	27473	29796
"469"	27473	27645
"470"	27473	31663
"471"	27473	31668
"472"	27473	31423
"473"	27473	28123
"474"	27473	31419
"475"	27473	31416
"476"	27473	29609
"477"	27473	31726
"478"	27473	31412
"479"	27473	29322
"480"	27474	31602
"481"	27474	31823
"482"	27474	28016
"483"	27474	27879
"484"	27474	31416
"485"	27474	31763
"486"	27474	31753
"487"	27474	30658
"488"	27474	27645
"489"	27474	29637
"490"	27474	31723
"491"	27474	31720
"492"	27474	31427
"493"	27474	31758
"494"	27474	29322
"495"	27474	29609
"496"	27474	31726
"497"	27474	30661
"498"	27475	31347
"499"	27475	31169
"500"	27475	31899
"501"	27475	29345
"502"	27475	31891
"503"	27475	31312
"504"	27475	31875
"505"	27475	31262
"506"	27475	31886
"507"	27475	29753
"508"	27475	31841
"509"	27475	31155
"510"	27475	27896
"511"	27476	27958
"512"	27476	28046
"513"	27476	28006
"514"	27476	29345
"515"	27476	28036
"516"	27476	28041
"517"	27476	31891
"518"	27476	28021
"519"	27476	28016
"520"	27476	28031
"521"	27476	28026
"522"	27476	27996
"523"	27476	27991
"524"	27476	28011
"525"	27476	28001
"526"	27476	27979
"527"	27476	27986
"528"	27476	27971
"529"	27476	27976
"530"	27476	27953
"531"	27476	27966
"532"	27476	27909
"533"	27476	27948
"534"	27476	27904
"535"	27476	27899
"536"	27477	32141
"537"	27477	31632
"538"	27477	29593
"539"	27477	31997
"540"	27477	32122
"541"	27477	32117
"542"	27477	32112
"543"	27477	32107
"544"	27477	29520
"545"	27477	32100
"546"	27477	32095
"547"	27477	30444
"548"	27477	27708
"549"	27477	28281
"550"	27477	29512
"551"	27477	31987
"552"	27477	32047
"553"	27477	32090
"554"	27477	32156
"555"	27477	29371
"556"	27477	32146
"557"	27477	32151
"558"	27477	32005
"559"	27477	32018
"560"	27477	32023
"561"	27477	32044
"562"	27477	27507
"563"	27477	31994
"564"	27477	32000
"565"	27477	28291
"566"	27477	32069
"567"	27477	32056
"568"	27477	30614
"569"	27478	31122
"570"	27478	31116
"571"	27478	30550
"572"	27478	29037
"573"	27478	31082
"574"	27478	31103
"575"	27478	28059
"576"	27478	28064
"577"	27478	30412
"578"	27478	31077
"579"	27478	31072
"580"	27479	32217
"581"	27479	32210
"582"	27479	29037
"583"	27479	32224
"584"	27479	27645
"585"	27479	32237
"586"	27479	32207
"587"	27479	32204
"588"	27479	32263
"589"	27479	32270
"590"	27479	32248
"591"	27479	29104
"592"	27480	28138
"593"	27480	29611
"594"	27480	27520
"595"	27480	29793
"596"	27480	29796
"597"	27480	28120
"598"	27480	29805
"599"	27480	27633
"600"	27480	28064
"601"	27480	29692
"602"	27480	29726
"603"	27480	29731
"604"	27480	29763
"605"	27480	29714
"606"	27480	29706
"607"	27480	29711
"608"	27480	32341
"609"	27480	29335
"610"	27480	29721
"611"	27480	29736
"612"	27480	29345
"613"	27480	31891
"614"	27480	29747
"615"	27480	29621
"616"	27480	29753
"617"	27480	29675
"618"	27480	29758
"619"	27480	29768
"620"	27480	27867
"621"	27480	27858
"622"	27480	29322
"623"	27480	27885
"624"	27480	27640
"625"	27480	27645
"626"	27480	29665
"627"	27480	29651
"628"	27480	29646
"629"	27480	32288
"630"	27480	27879
"631"	27480	29606
"632"	27480	28059
"633"	27480	29689
"634"	27480	27749
"635"	27480	28887
"636"	27480	31726
"637"	27480	29609
"638"	27480	27882
"639"	27480	29614
"640"	27481	28269
"641"	27481	29427
"642"	27481	27667
"643"	27481	27963
"644"	27482	27674
"645"	27482	27667
"646"	27482	27963
"647"	27482	27681
"648"	27482	31841
"649"	27482	31293
"650"	27482	27660
"651"	27482	28240
"652"	27482	31632
"653"	27482	29637
"654"	27482	29805
"655"	27482	27633
"656"	27482	27688
"657"	27482	28269
"658"	27482	32749
"659"	27482	32744
"660"	27482	31891
"661"	27482	31169
"662"	27482	29427
"663"	27482	29345
"664"	27482	32781
"665"	27482	32786
"666"	27482	32764
"667"	27482	32597
"668"	27482	27653
"669"	27482	31899
"670"	27482	29763
"671"	27483	27660
"672"	27483	27667
"673"	27483	27674
"674"	27483	27653
"675"	27483	28240
"676"	27483	32901
"677"	27483	32906
"678"	27483	28887
"679"	27483	32914
"680"	27483	27681
"681"	27483	27963
"682"	27483	28269
"683"	27483	27688
"684"	27483	27645
"685"	27483	29675
"686"	27483	29427
"687"	27483	31758
"688"	27483	32921
"689"	27483	29637
"690"	27483	32930
"691"	27484	28465
"692"	27484	29012
"693"	27484	29002
"694"	27484	29028
"695"	27484	30485
"696"	27484	28470
"697"	27484	28999
"698"	27484	28518
"699"	27484	29113
"700"	27484	33039
"701"	27484	28797
"702"	27484	33032
"703"	27484	28404
"704"	27484	28291
"705"	27484	29042
"706"	27484	29122
"707"	27484	29080
"708"	27484	29077
"709"	27484	29072
"710"	27484	28338
"711"	27484	28802
"712"	27484	29104
"713"	27484	29037
"714"	27484	29099
"715"	27484	32986
"716"	27484	29021
"717"	27484	28996
"718"	27484	28833
"719"	27484	29062
"720"	27484	28656
"721"	27484	28705
"722"	27484	29047
"723"	27485	28064
"724"	27486	31581
"725"	27486	31632
"726"	27486	29637
"727"	27486	31602
"728"	27486	31673
"729"	27486	31682
"730"	27486	29796
"731"	27486	30658
"732"	27486	30734
"733"	27486	31596
"734"	27486	31416
"735"	27486	27645
"736"	27486	28123
"737"	27486	31423
"738"	27486	29322
"739"	27486	31412
"740"	27486	31726
"741"	27486	29609
"742"	27486	31763
"743"	27486	33121
"744"	27486	31427
"745"	27486	31419
"746"	27486	29675
"747"	27487	31164
"748"	27487	31347
"749"	27487	29753
"750"	27487	29763
"751"	27487	31312
"752"	27487	31875
"753"	27487	31293
"754"	27487	31307
"755"	27487	29637
"756"	27487	31841
"757"	27487	28064
"758"	27487	30658
"759"	27487	31262
"760"	27487	29796
"761"	27487	27879
"762"	27487	28887
"763"	27487	27520
"764"	27487	28120
"765"	27487	29675
"766"	27487	27645
"767"	27487	31152
"768"	27487	31149
"769"	27487	31228
"770"	27487	27885
"771"	27487	27640
"772"	27487	31219
"773"	27487	31216
"774"	27487	31211
"775"	27487	31155
"776"	27487	29345
"777"	27487	31891
"778"	27487	31726
"779"	27487	29609
"780"	27487	29322
"781"	27487	31899
"782"	27487	31169
"783"	27488	33448
"784"	27488	31632
"785"	27488	33462
"786"	27488	33430
"787"	27488	28328
"788"	27488	33364
"789"	27488	28291
"790"	27488	33370
"791"	27488	29012
"792"	27488	33416
"793"	27488	33425
"794"	27488	33389
"795"	27488	28553
"796"	27488	33384
"797"	27488	33377
"798"	27488	33401
"799"	27488	33408
"800"	27488	28748
"801"	27488	33394
